P	爸	88.4:8	ba4	ba	ba ba: bố, cha	father
P	喝	30.9:12	he1	hát	uống, quát, hét	drink, shout
P	茶	140.6:10	cha2	trà	trà	tea
P	吸	30.4:7	xi1	hấp	hút, hít vào	inhale, absorb
P	煙	86.9:13	yan1	yên	khói, thuốc lá	smoke, cigarette, tobacco
P	姓	38.5:8	xing4	tính	họ	last name, clan
P	舍	135.2:8	she4	xá	quán trọ, nhà ở	house, reside
P	層	44.12:15	ceng2	tằng	tầng, lớp	storey, layer, floor
P	廁	53.9:12	ce4	xí	chuồng, chỗ	toilet, lavatory
P	傘	9.10:12	san3	tản	ô, dù	umbrella, parachute
P	喂	30.9:12	wei4	úy	chào	hello!
P	郵	163.8:12	you2	bưu	bưu điện	postal, mail, post office
P	銀	167.6:14	yin2	ngân	bạc	silver, cash, money, wealth
P	互	7.2:4	hu4	hổ	đắp đổi	mutually
P	閱	169.7:15	yue4	duyệt	xem xét	examine, inspect, review, read
P	覽	147.14:21	lan3	lãm	xem, chịu nhận	look at, inspect
P	誌	149.7:14	zhi4	chí	ghi nhớ, bài viết	write down, record, magazine
P	借	9.8:10	jie4	tá	vay mượn	borrow, lend
